WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 65536
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 65536
WriteToSocket::Consume, channelId: 9, sockfd: 10, cnt: 65536
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 65536
WriteToSocket::Consume, channelId: 13, sockfd: 14, cnt: 65536
WriteToSocket::Consume, channelId: 8, sockfd: 9, cnt: 65536
WriteToSocket::Consume, channelId: 16, sockfd: 17, cnt: 65536
WriteToSocket::Consume, channelId: 10, sockfd: 11, cnt: 65536
WriteToSocket::Consume, channelId: 11, sockfd: 12, cnt: 65536
WriteToSocket::Consume, channelId: 12, sockfd: 13, cnt: 65536
WriteToSocket::Consume, channelId: 14, sockfd: 15, cnt: 65536
WriteToSocket::Consume, channelId: 15, sockfd: 16, cnt: 65536
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 27
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 27
WriteToSocket::Consume, channelId: 1, sockfd: 2, cnt: 27
WriteToSocket::Consume, channelId: 4, sockfd: 5, cnt: 27
WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 27
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 27
WriteToSocket::Consume, channelId: 9, sockfd: 10, cnt: 27
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 27
WriteToSocket::Consume, channelId: 13, sockfd: 14, cnt: 27
WriteToSocket::Consume, channelId: 8, sockfd: 9, cnt: 27
WriteToSocket::Consume, channelId: 16, sockfd: 17, cnt: 27
WriteToSocket::Consume, channelId: 10, sockfd: 11, cnt: 27
WriteToSocket::Consume, channelId: 11, sockfd: 12, cnt: 27
WriteToSocket::Consume, channelId: 12, sockfd: 13, cnt: 27
WriteToSocket::Consume, channelId: 14, sockfd: 15, cnt: 27
WriteToSocket::Consume, channelId: 15, sockfd: 16, cnt: 27
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 65455
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 81
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 65536
WriteToSocket::Consume, channelId: 1, sockfd: 2, cnt: 65536
WriteToSocket::Consume, channelId: 4, sockfd: 5, cnt: 65536
WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 65536
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 65536
WriteToSocket::Consume, channelId: 9, sockfd: 10, cnt: 65536
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 65536
WriteToSocket::Consume, channelId: 13, sockfd: 14, cnt: 65536
WriteToSocket::Consume, channelId: 8, sockfd: 9, cnt: 65536
WriteToSocket::Consume, channelId: 16, sockfd: 17, cnt: 65536
WriteToSocket::Consume, channelId: 10, sockfd: 11, cnt: 65536
WriteToSocket::Consume, channelId: 11, sockfd: 12, cnt: 65536
WriteToSocket::Consume, channelId: 12, sockfd: 13, cnt: 65536
WriteToSocket::Consume, channelId: 15, sockfd: 16, cnt: 65536
WriteToSocket::Consume, channelId: 14, sockfd: 15, cnt: 65536
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 27
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 27
WriteToSocket::Consume, channelId: 1, sockfd: 2, cnt: 27
WriteToSocket::Consume, channelId: 4, sockfd: 5, cnt: 27
WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 27
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 27
WriteToSocket::Consume, channelId: 9, sockfd: 10, cnt: 27
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 27
WriteToSocket::Consume, channelId: 13, sockfd: 14, cnt: 27
WriteToSocket::Consume, channelId: 8, sockfd: 9, cnt: 27
WriteToSocket::Consume, channelId: 16, sockfd: 17, cnt: 27
WriteToSocket::Consume, channelId: 10, sockfd: 11, cnt: 27
WriteToSocket::Consume, channelId: 11, sockfd: 12, cnt: 27
WriteToSocket::Consume, channelId: 12, sockfd: 13, cnt: 27
WriteToSocket::Consume, channelId: 15, sockfd: 16, cnt: 27
WriteToSocket::Consume, channelId: 14, sockfd: 15, cnt: 27
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 65428
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 108
WriteToSocket::Consume, channelId: 1, sockfd: 2, cnt: 65536
WriteToSocket::Consume, channelId: 4, sockfd: 5, cnt: 65536
WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 65536
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 65536
WriteToSocket::Consume, channelId: 9, sockfd: 10, cnt: 65536
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 65536
WriteToSocket::Consume, channelId: 13, sockfd: 14, cnt: 65536
WriteToSocket::Consume, channelId: 8, sockfd: 9, cnt: 65536
WriteToSocket::Consume, channelId: 16, sockfd: 17, cnt: 65536
WriteToSocket::Consume, channelId: 10, sockfd: 11, cnt: 65536
WriteToSocket::Consume, channelId: 11, sockfd: 12, cnt: 65536
WriteToSocket::Consume, channelId: 12, sockfd: 13, cnt: 65536
WriteToSocket::Consume, channelId: 15, sockfd: 16, cnt: 65536
WriteToSocket::Consume, channelId: 14, sockfd: 15, cnt: 65536
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 27
WriteToSocket::Consume, channelId: 1, sockfd: 2, cnt: 27
WriteToSocket::Consume, channelId: 4, sockfd: 5, cnt: 27
WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 27
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 27
WriteToSocket::Consume, channelId: 9, sockfd: 10, cnt: 27
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 27
WriteToSocket::Consume, channelId: 13, sockfd: 14, cnt: 27
WriteToSocket::Consume, channelId: 8, sockfd: 9, cnt: 27
WriteToSocket::Consume, channelId: 16, sockfd: 17, cnt: 27
WriteToSocket::Consume, channelId: 10, sockfd: 11, cnt: 27
WriteToSocket::Consume, channelId: 11, sockfd: 12, cnt: 27
WriteToSocket::Consume, channelId: 12, sockfd: 13, cnt: 27
WriteToSocket::Consume, channelId: 15, sockfd: 16, cnt: 27
WriteToSocket::Consume, channelId: 14, sockfd: 15, cnt: 27
WriteToSocket::Consume, channelId: 1, sockfd: 2, cnt: 65401
WriteToSocket::Consume, channelId: 1, sockfd: 2, cnt: 135
WriteToSocket::Consume, channelId: 4, sockfd: 5, cnt: 65536
WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 65536
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 65536
WriteToSocket::Consume, channelId: 9, sockfd: 10, cnt: 65536
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 65536
WriteToSocket::Consume, channelId: 13, sockfd: 14, cnt: 65536
WriteToSocket::Consume, channelId: 8, sockfd: 9, cnt: 65536
WriteToSocket::Consume, channelId: 16, sockfd: 17, cnt: 65536
WriteToSocket::Consume, channelId: 10, sockfd: 11, cnt: 65536
WriteToSocket::Consume, channelId: 11, sockfd: 12, cnt: 65536
WriteToSocket::Consume, channelId: 12, sockfd: 13, cnt: 65536
WriteToSocket::Consume, channelId: 15, sockfd: 16, cnt: 65536
WriteToSocket::Consume, channelId: 14, sockfd: 15, cnt: 65536
WriteToSocket::Consume, channelId: 1, sockfd: 2, cnt: 27
WriteToSocket::Consume, channelId: 4, sockfd: 5, cnt: 27
WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 27
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 27
WriteToSocket::Consume, channelId: 9, sockfd: 10, cnt: 27
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 27
WriteToSocket::Consume, channelId: 13, sockfd: 14, cnt: 27
WriteToSocket::Consume, channelId: 8, sockfd: 9, cnt: 27
WriteToSocket::Consume, channelId: 16, sockfd: 17, cnt: 27
WriteToSocket::Consume, channelId: 10, sockfd: 11, cnt: 27
WriteToSocket::Consume, channelId: 11, sockfd: 12, cnt: 27
WriteToSocket::Consume, channelId: 12, sockfd: 13, cnt: 27
WriteToSocket::Consume, channelId: 15, sockfd: 16, cnt: 27
WriteToSocket::Consume, channelId: 14, sockfd: 15, cnt: 27
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 65374
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 162
WriteToSocket::Consume, channelId: 9, sockfd: 10, cnt: 65536
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 65536
WriteToSocket::Consume, channelId: 13, sockfd: 14, cnt: 65536
WriteToSocket::Consume, channelId: 8, sockfd: 9, cnt: 65536
WriteToSocket::Consume, channelId: 16, sockfd: 17, cnt: 65536
WriteToSocket::Consume, channelId: 10, sockfd: 11, cnt: 65536
WriteToSocket::Consume, channelId: 11, sockfd: 12, cnt: 65536
WriteToSocket::Consume, channelId: 12, sockfd: 13, cnt: 65536
WriteToSocket::Consume, channelId: 15, sockfd: 16, cnt: 65536
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 27
WriteToSocket::Consume, channelId: 9, sockfd: 10, cnt: 27
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 27
WriteToSocket::Consume, channelId: 13, sockfd: 14, cnt: 27
WriteToSocket::Consume, channelId: 8, sockfd: 9, cnt: 27
WriteToSocket::Consume, channelId: 14, sockfd: 15, cnt: 65536
WriteToSocket::Consume, channelId: 4, sockfd: 5, cnt: 65536
WriteToSocket::Consume, channelId: 16, sockfd: 17, cnt: 27
WriteToSocket::Consume, channelId: 10, sockfd: 11, cnt: 27
WriteToSocket::Consume, channelId: 11, sockfd: 12, cnt: 27
WriteToSocket::Consume, channelId: 12, sockfd: 13, cnt: 27
WriteToSocket::Consume, channelId: 15, sockfd: 16, cnt: 27
WriteToSocket::Consume, channelId: 14, sockfd: 15, cnt: 27
WriteToSocket::Consume, channelId: 4, sockfd: 5, cnt: 27
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 65347
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 189
WriteToSocket::Consume, channelId: 13, sockfd: 14, cnt: 65536
WriteToSocket::Consume, channelId: 8, sockfd: 9, cnt: 65536
WriteToSocket::Consume, channelId: 16, sockfd: 17, cnt: 65536
WriteToSocket::Consume, channelId: 10, sockfd: 11, cnt: 65536
WriteToSocket::Consume, channelId: 11, sockfd: 12, cnt: 65536
WriteToSocket::Consume, channelId: 12, sockfd: 13, cnt: 65536
WriteToSocket::Consume, channelId: 14, sockfd: 15, cnt: 65536
WriteToSocket::Consume, channelId: 15, sockfd: 16, cnt: 65536
WriteToSocket::Consume, channelId: 4, sockfd: 5, cnt: 65536
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 27
WriteToSocket::Consume, channelId: 13, sockfd: 14, cnt: 27
WriteToSocket::Consume, channelId: 8, sockfd: 9, cnt: 27
WriteToSocket::Consume, channelId: 16, sockfd: 17, cnt: 27
WriteToSocket::Consume, channelId: 10, sockfd: 11, cnt: 27
WriteToSocket::Consume, channelId: 11, sockfd: 12, cnt: 27
WriteToSocket::Consume, channelId: 12, sockfd: 13, cnt: 27
WriteToSocket::Consume, channelId: 14, sockfd: 15, cnt: 27
WriteToSocket::Consume, channelId: 15, sockfd: 16, cnt: 27
WriteToSocket::Consume, channelId: 4, sockfd: 5, cnt: 27
WriteToSocket::Consume, channelId: 13, sockfd: 14, cnt: 65320
WriteToSocket::Consume, channelId: 13, sockfd: 14, cnt: 216
WriteToSocket::Consume, channelId: 8, sockfd: 9, cnt: 65536
WriteToSocket::Consume, channelId: 16, sockfd: 17, cnt: 65536
WriteToSocket::Consume, channelId: 10, sockfd: 11, cnt: 65536
WriteToSocket::Consume, channelId: 11, sockfd: 12, cnt: 65536
WriteToSocket::Consume, channelId: 12, sockfd: 13, cnt: 65536
WriteToSocket::Consume, channelId: 14, sockfd: 15, cnt: 65536
WriteToSocket::Consume, channelId: 15, sockfd: 16, cnt: 65536
WriteToSocket::Consume, channelId: 4, sockfd: 5, cnt: 65536
WriteToSocket::Consume, channelId: 13, sockfd: 14, cnt: 27
WriteToSocket::Consume, channelId: 8, sockfd: 9, cnt: 27
WriteToSocket::Consume, channelId: 16, sockfd: 17, cnt: 27
WriteToSocket::Consume, channelId: 10, sockfd: 11, cnt: 27
WriteToSocket::Consume, channelId: 11, sockfd: 12, cnt: 27
WriteToSocket::Consume, channelId: 12, sockfd: 13, cnt: 27
WriteToSocket::Consume, channelId: 14, sockfd: 15, cnt: 27
WriteToSocket::Consume, channelId: 15, sockfd: 16, cnt: 27
WriteToSocket::Consume, channelId: 4, sockfd: 5, cnt: 27
WriteToSocket::Consume, channelId: 16, sockfd: 17, cnt: 65293
WriteToSocket::Consume, channelId: 16, sockfd: 17, cnt: 243
WriteToSocket::Consume, channelId: 10, sockfd: 11, cnt: 65536
WriteToSocket::Consume, channelId: 11, sockfd: 12, cnt: 65536
WriteToSocket::Consume, channelId: 12, sockfd: 13, cnt: 65536
WriteToSocket::Consume, channelId: 14, sockfd: 15, cnt: 65536
WriteToSocket::Consume, channelId: 15, sockfd: 16, cnt: 65536
WriteToSocket::Consume, channelId: 4, sockfd: 5, cnt: 65536
WriteToSocket::Consume, channelId: 16, sockfd: 17, cnt: 27
WriteToSocket::Consume, channelId: 10, sockfd: 11, cnt: 27
WriteToSocket::Consume, channelId: 11, sockfd: 12, cnt: 27
WriteToSocket::Consume, channelId: 12, sockfd: 13, cnt: 27
WriteToSocket::Consume, channelId: 14, sockfd: 15, cnt: 27
WriteToSocket::Consume, channelId: 15, sockfd: 16, cnt: 27
WriteToSocket::Consume, channelId: 4, sockfd: 5, cnt: 27
WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 65536
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 65536
WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 27
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 27
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 65536
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 27
WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 65347
WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 189
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 65401
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 135
WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 27
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 27
WriteToSocket::Consume, channelId: 9, sockfd: 10, cnt: 65536
WriteToSocket::Consume, channelId: 8, sockfd: 9, cnt: 65536
WriteToSocket::Consume, channelId: 9, sockfd: 10, cnt: 27
WriteToSocket::Consume, channelId: 8, sockfd: 9, cnt: 27
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 65536
WriteToSocket::Consume, channelId: 13, sockfd: 14, cnt: 65536
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 27
WriteToSocket::Consume, channelId: 13, sockfd: 14, cnt: 27
WriteToSocket::Consume, channelId: 9, sockfd: 10, cnt: 65536
WriteToSocket::Consume, channelId: 9, sockfd: 10, cnt: 27
WriteToSocket::Consume, channelId: 9, sockfd: 10, cnt: 65293
WriteToSocket::Consume, channelId: 9, sockfd: 10, cnt: 243
WriteToSocket::Consume, channelId: 9, sockfd: 10, cnt: 27
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 65374
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 162
WriteToSocket::Consume, channelId: 1, sockfd: 2, cnt: 65536
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 27
WriteToSocket::Consume, channelId: 1, sockfd: 2, cnt: 27
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 65374
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 162
WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 65320
WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 216
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 27
WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 27
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 65347
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 189
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 27
WriteToSocket::Consume, channelId: 1, sockfd: 2, cnt: 65536
WriteToSocket::Consume, channelId: 1, sockfd: 2, cnt: 27
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 65347
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 189
WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 65536
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 65536
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 27
WriteToSocket::Consume, channelId: 6, sockfd: 7, cnt: 27
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 27
WriteToSocket::Consume, channelId: 1, sockfd: 2, cnt: 65320
WriteToSocket::Consume, channelId: 1, sockfd: 2, cnt: 216
WriteToSocket::Consume, channelId: 1, sockfd: 2, cnt: 27
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 65320
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 216
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 27
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 65293
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 243
WriteToSocket::Consume, channelId: 1, sockfd: 2, cnt: 65536
WriteToSocket::Consume, channelId: 3, sockfd: 4, cnt: 27
WriteToSocket::Consume, channelId: 1, sockfd: 2, cnt: 27
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 65293
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 243
WriteToSocket::Consume, channelId: 2, sockfd: 3, cnt: 27
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 65293
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 243
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 65536
WriteToSocket::Consume, channelId: 7, sockfd: 8, cnt: 27
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 27
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 65320
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 216
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 27
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 65293
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 243
WriteToSocket::Consume, channelId: 5, sockfd: 6, cnt: 27
